FIGURA;TITULO;ORDEM;CAMPO;DESCRICAO
COE001018;COE001018 - Strangle Put KO;12;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001018;COE001018 - Strangle Put KO;13;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001018;COE001018 - Strangle Put KO;14;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001018;COE001018 - Strangle Put KO;15;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001018;COE001018 - Strangle Put KO;16;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001018;COE001018 - Strangle Put KO;17;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001018;COE001018 - Strangle Put KO;18;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior a indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001018;COE001018 - Strangle Put KO;19;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas” . Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001019;COE001019 - Strangle KO Call_Put;1;Strike 1 (%);Campo de preenchimento obrigatório. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0 e menor que strike 2.
COE001019;COE001019 - Strangle KO Call_Put;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001019;COE001019 - Strangle KO Call_Put;3;Participação cenário de baixa (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a desvalorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001019;COE001019 - Strangle KO Call_Put;4;Barreira no Cenário de Baixa (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o valor inicial do ativo subjacente. Formato: numérico com 4 inteiros e 8 decimais, sempre maior que zero.
COE001019;COE001019 - Strangle KO Call_Put;5;Rebate no Cenário de Baixa (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação. Formato: numérico com 4 inteiros e 4 decimais, sempre maior que zero.
COE001019;COE001019 - Strangle KO Call_Put;6;Tipo de Cotação para Verificação de Barreiras no Cenário de Baixa;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001019;COE001019 - Strangle KO Call_Put;7;Strike 2 (%);Campo de preenchimento obrigatório. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0 e maior que strike 1.
COE001019;COE001019 - Strangle KO Call_Put;8;Quantidade 2;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 2. Formato: Numérico com 8 inteiros e 8 decimais.
COE001019;COE001019 - Strangle KO Call_Put;9;Participação cenário de alta (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a valorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001019;COE001019 - Strangle KO Call_Put;10;Barreira Cenário de Alta (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o valor inicial do ativo. Formato: numérico com 4 inteiros e 8 decimais, sempre maior que zero.
COE001019;COE001019 - Strangle KO Call_Put;11;Opções Dependentes;Campo de preenchimento obrigatório Caso selecionado ‘Sim’, em um eventual atingimento de barreira de Knock-out, as opções da estrutura serão desmontadas juntas. Caso selecionado ‘Não’, em um eventual atingimento de barreira de Knock-out , as opções da estrutura serão desmontadas individualmente, permanecendo a exposição para a opção ainda ativa. Campo com as opções: Sim e Não.
COE001019;COE001019 - Strangle KO Call_Put;12;Rebate no Cenário de Alta (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação. Formato: numérico com 4 inteiros e 4 decimais, sempre maior que zero.
COE001019;COE001019 - Strangle KO Call_Put;13;Tipo de Cotação para Verificação de Barreiras no Cenário de Alta;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001019;COE001019 - Strangle KO Call_Put;14;Período de captura do ativo subjacente para liquidação;Campo de preenchimento obrigatório. Campo com as opções: Data Única, Janela de Datas e Mais Datas. Indica como será formado o fixing no vencimento. Caso o ativo subjacente seja uma Cesta,não é permitido selecionar a opção “Janela de Datas” Se indicado Janela de Datas ou Mais Datas, será obrigatório o preenchimento do campo “Tipo de Fixing para Vencimento”. Caso seja indicado “Mais Datas” as datas serão indicadas na seção “Mais Datas”.
COE001019;COE001019 - Strangle KO Call_Put;15;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001019;COE001019 - Strangle KO Call_Put;16;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001019;COE001019 - Strangle KO Call_Put;17;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001019;COE001019 - Strangle KO Call_Put;18;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001019;COE001019 - Strangle KO Call_Put;19;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001019;COE001019 - Strangle KO Call_Put;20;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001019;COE001019 - Strangle KO Call_Put;21;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior a indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001019;COE001019 - Strangle KO Call_Put;22;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas” . Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001020;COE001020 - Barreiras Móveis;1;Barreira no Cenário de Baixa (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o valor inicial do ativo subjacente. Formato: numérico com 4 inteiros e 8 decimais, sempre maior que zero.
COE001020;COE001020 - Barreiras Móveis;2;Barreira Cenário de Alta (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o valor inicial do ativo. Formato: numérico com 4 inteiros e 8 decimais, sempre maior que zero.
COE001020;COE001020 - Barreiras Móveis;3;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001020;COE001020 - Barreiras Móveis;4;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior a indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001020;COE001020 - Barreiras Móveis;5;Remuneração Adicional;Campo de preenchimento obrigatório. Indica o tipo de remunerador que será utilizado. Campo com as opções: Pré e DI.
COE001020;COE001020 - Barreiras Móveis;6;Remunerador Flutuante Adicional (%);Campo de preenchimento obrigatório, se indicado “DI”. Para o indicador “Pré”, este campo não deverá ser preenchido. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001020;COE001020 - Barreiras Móveis;7;Cupom Remunerador Adicional (%);Campo de preenchimento obrigatório, se indicado “Pré”. Formato: Numérico com 5 inteiros e 4 decimais, incluindo o sinal “- “ e “+”. A não indicação do sinal deve ser considerada como “+”.
COE001020;COE001020 - Barreiras Móveis;8;Tipo de Cotação para Verificação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Tipo de cotação do ativo subjacente capturado em todas as datas entre a “Data Inicial para verificação” e a “Data Final para verificação”. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001020;COE001020 - Barreiras Móveis;9;Fator barreira móvel superior;Campo de preenchimento obrigatório. Fator que deve ser somado diariamente da barreira superior. Formato: Numérico com 5 inteiros e 8 decimais, incluindo o sinal “-“ e “+”. A não indicação do sinal deve ser considerada como “+”.
COE001020;COE001020 - Barreiras Móveis;10;Fator barreira móvel inferior;Campo de preenchimento obrigatório. Fator que deve ser subtraído diariamente da barreira inferior. Formato: Numérico com 5 inteiros e 8 decimais, incluindo o sinal “-“ e “+”. A não indicação do sinal deve ser considerada como “+”.
COE001021;COE001021 - Call KI;1;Strike 1 (%);Campo de preenchimento obrigatório. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0.
COE001021;COE001021 - Call KI;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001021;COE001021 - Call KI;3;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001021;COE001021 - Call KI;4;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001021;COE001021 - Call KI;5;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001021;COE001021 - Call KI;6;Participação cenário de alta (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a valorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001021;COE001021 - Call KI;7;Período de captura do ativo subjacente para liquidação;Campo de preenchimento obrigatório. Campo com as opções: Data Única, Janela de Datas e Mais Datas. Indica como será formado o fixing no vencimento. Caso o ativo subjacente seja uma Cesta, não é permitido selecionar a opção “Janela de Datas” Se indicado Janela de Datas ou Mais Datas, será obrigatório o preenchimento do campo “Tipo de Fixing para Vencimento”. Caso seja indicado “Mais Datas” as datas serão indicadas na seção “Mais Datas”.
COE001021;COE001021 - Call KI;8;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001021;COE001021 - Call KI;9;Tipo de Cotação para Verificação de Barreiras no Cenário de Alta;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001021;COE001021 - Call KI;10;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001021;COE001021 - Call KI;11;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001021;COE001021 - Call KI;12;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior a indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001021;COE001021 - Call KI;13;Rebate KI (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001021;COE001021 - Call KI;14;Barreira KI;Campo de preenchimento obrigatório. Campo percentual aplicado sobre o valor inicial do Ativo Subjacente indicando a barreira de KI da estrutura. Formato: Numérico com 4 inteiros e 8 decimais, maior que 0.
COE001021;COE001021 - Call KI;15;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas”. Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001022;COE001022 - Put KI;1;Strike 1 (%);Campo de preenchimento obrigatório. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0.
COE001022;COE001022 - Put KI;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001022;COE001022 - Put KI;3;Participação cenário de baixa (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a desvalorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001022;COE001022 - Put KI;4;Tipo de Cotação para Verificação de Barreiras no Cenário de Baixa;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001022;COE001022 - Put KI;5;Período de captura do ativo subjacente para liquidação;Campo de preenchimento obrigatório. Campo com as opções: Data Única, Janela de Datas e Mais Datas. Indica como será formado o fixing no vencimento. Caso o ativo subjacente seja uma Cesta,não é permitido selecionar a opção “Janela de Datas” Se indicado Janela de Datas ou Mais Datas, será obrigatório o preenchimento do campo “Tipo de Fixing para Vencimento”. Caso seja indicado “Mais Datas” as datas serão indicadas na seção “Mais Datas”.
COE001022;COE001022 - Put KI;6;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001022;COE001022 - Put KI;7;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001022;COE001022 - Put KI;8;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001022;COE001022 - Put KI;9;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001022;COE001022 - Put KI;10;Barreira KI;Campo de preenchimento obrigatório. Campo percentual aplicado sobre o valor inicial do Ativo Subjacente indicando a barreira de KI da estrutura. Formato: Numérico com 4 inteiros e 8 decimais, maior que 0.
COE001022;COE001022 - Put KI;11;Rebate KI (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação. Formato: Numérico com 4 inteiros e 4 decimais, maior ou igual a 0.
COE001022;COE001022 - Put KI;12;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001022;COE001022 - Put KI;13;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001022;COE001022 - Put KI;14;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior a indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001022;COE001022 - Put KI;15;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas”. Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001023;COE001023 - Call KIKO;1;Strike 1 (%);Campo de preenchimento obrigatório. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0.
COE001023;COE001023 - Call KIKO;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001023;COE001023 - Call KIKO;3;Participação cenário de alta (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a valorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001023;COE001023 - Call KIKO;4;Tipo de Cotação para Verificação de Barreiras no Cenário de Alta;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001023;COE001023 - Call KIKO;5;Período de captura do ativo subjacente para liquidação;Campo de preenchimento obrigatório. Campo com as opções: Data Única, Janela de Datas e Mais Datas. Indica como será formado o fixing no vencimento. Caso o ativo subjacente seja uma Cesta,não é permitido selecionar a opção “Janela de Datas” Se indicado Janela de Datas ou Mais Datas, será obrigatório o preenchimento do campo “Tipo de Fixing para Vencimento”. Caso seja indicado “Mais Datas” as datas serão indicadas na seção “Mais Datas”.
COE001023;COE001023 - Call KIKO;6;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001023;COE001023 - Call KIKO;7;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil. Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001023;COE001023 - Call KIKO;8;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
COE001023;COE001023 - Call KIKO;9;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001023;COE001023 - Call KIKO;10;Barreira KI;Campo de preenchimento obrigatório. Campo percentual aplicado sobre o valor inicial do Ativo Subjacente indicando a barreira de KI da estrutura. Formato: Numérico com 4 inteiros e 8 decimais, maior que 0.
COE001023;COE001023 - Call KIKO;11;Rebate KI (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001023;COE001023 - Call KIKO;12;Barreira KO;Campo de preenchimento obrigatório. Campo percentual aplicado sobre o valor inicial do Ativo Subjacente. Indica a barreira de KO da estrutura. Formato: Numérico com 4 inteiros e 8 decimais, maior que 0.
COE001023;COE001023 - Call KIKO;13;Rebate KO (%);Campo de preenchimento obrigatório. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for menor que a barreira de KO no período de verificação. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001023;COE001023 - Call KIKO;14;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001023;COE001023 - Call KIKO;15;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001023;COE001023 - Call KIKO;16;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior a indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001023;COE001023 - Call KIKO;17;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas” . Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001024;COE001024 - Put KIKO;1;Strike 1 (%);Campo de preenchimento obrigatório. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0.
COE001024;COE001024 - Put KIKO;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001024;COE001024 - Put KIKO;3;Participação cenário de baixa (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a desvalorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
